tier,band,query,e1_j,t1_s,workers,repeats,staged
breadth,2-7.5 J,queries/tpch/SQLStorm/3259.sql,4.0030517578125,0.708178,0,3,queries/tpch/sqlstorm_slope/breadth/3259.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/30319.sql,4.206787109375,0.382684,4,3,queries/tpch/sqlstorm_slope/breadth/30319.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/28069.sql,4.45855712890625,0.802867,0,3,queries/tpch/sqlstorm_slope/breadth/28069.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/18986.sql,4.62457275390625,0.416496,4,3,queries/tpch/sqlstorm_slope/breadth/18986.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/9037.sql,4.859619140625,0.889621,0,3,queries/tpch/sqlstorm_slope/breadth/9037.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/11888.sql,4.8980712890625,0.443857,4,3,queries/tpch/sqlstorm_slope/breadth/11888.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/4445.sql,4.98345947265625,0.925771,0,3,queries/tpch/sqlstorm_slope/breadth/4445.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/14917.sql,5.12255859375,0.445871,4,3,queries/tpch/sqlstorm_slope/breadth/14917.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/18637.sql,5.28021240234375,0.945571,0,3,queries/tpch/sqlstorm_slope/breadth/18637.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/13170.sql,5.50372314453125,0.457353,4,3,queries/tpch/sqlstorm_slope/breadth/13170.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/18032.sql,5.61041259765625,1.003442,0,3,queries/tpch/sqlstorm_slope/breadth/18032.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/129.sql,5.7750244140625,0.42184,4,3,queries/tpch/sqlstorm_slope/breadth/129.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/20160.sql,6.1873779296875,1.108025,0,3,queries/tpch/sqlstorm_slope/breadth/20160.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/13204.sql,6.3905029296875,0.747967,4,3,queries/tpch/sqlstorm_slope/breadth/13204.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/28042.sql,6.56292724609375,0.846486,3,3,queries/tpch/sqlstorm_slope/breadth/28042.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/15102.sql,6.71533203125,0.456323,4,3,queries/tpch/sqlstorm_slope/breadth/15102.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/29383.sql,6.79644775390625,0.846767,3,3,queries/tpch/sqlstorm_slope/breadth/29383.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/18821.sql,7.2198486328125,0.602047,4,3,queries/tpch/sqlstorm_slope/breadth/18821.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/11034.sql,7.315673828125,1.362248,0,3,queries/tpch/sqlstorm_slope/breadth/11034.sql
reference,7.5-15 J,queries/tpch/SQLStorm/32103.sql,8.5257568359375,0.615813,4,10,queries/tpch/sqlstorm_slope/reference/32103.sql
reference,7.5-15 J,queries/tpch/SQLStorm/17087.sql,9.8974609375,0.814816,3,10,queries/tpch/sqlstorm_slope/reference/17087.sql
reference,7.5-15 J,queries/tpch/SQLStorm/11767.sql,10.76812744140625,0.757659,4,10,queries/tpch/sqlstorm_slope/reference/11767.sql
reference,7.5-15 J,queries/tpch/SQLStorm/11750.sql,14.07965087890625,1.555188,3,10,queries/tpch/sqlstorm_slope/reference/11750.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/14145.sql,7.7435302734375,0.614348,4,3,queries/tpch/sqlstorm_slope/breadth/14145.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/1396.sql,7.92510986328125,1.415847,0,3,queries/tpch/sqlstorm_slope/breadth/1396.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/9323.sql,8.05145263671875,1.228664,4,3,queries/tpch/sqlstorm_slope/breadth/9323.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/28067.sql,8.3453369140625,1.512529,0,3,queries/tpch/sqlstorm_slope/breadth/28067.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/14101.sql,8.58245849609375,0.619365,4,3,queries/tpch/sqlstorm_slope/breadth/14101.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/5961.sql,9.03790283203125,1.64543,0,3,queries/tpch/sqlstorm_slope/breadth/5961.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/11716.sql,9.59368896484375,0.666724,4,3,queries/tpch/sqlstorm_slope/breadth/11716.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/11394.sql,9.83734130859375,0.793884,3,3,queries/tpch/sqlstorm_slope/breadth/11394.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/12604.sql,9.920654296875,0.721969,4,3,queries/tpch/sqlstorm_slope/breadth/12604.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/12430.sql,9.9381103515625,0.814016,3,3,queries/tpch/sqlstorm_slope/breadth/12430.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/1934.sql,10.09228515625,1.334144,4,3,queries/tpch/sqlstorm_slope/breadth/1934.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/16236.sql,10.19610595703125,1.888667,0,3,queries/tpch/sqlstorm_slope/breadth/16236.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/10042.sql,10.51263427734375,0.736926,4,3,queries/tpch/sqlstorm_slope/breadth/10042.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/23849.sql,10.6173095703125,1.888851,0,3,queries/tpch/sqlstorm_slope/breadth/23849.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/13447.sql,10.70318603515625,0.75542,4,3,queries/tpch/sqlstorm_slope/breadth/13447.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/11335.sql,10.912109375,0.886387,3,3,queries/tpch/sqlstorm_slope/breadth/11335.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/12380.sql,10.99554443359375,0.851247,4,3,queries/tpch/sqlstorm_slope/breadth/12380.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/10649.sql,11.23876953125,1.943662,0,3,queries/tpch/sqlstorm_slope/breadth/10649.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/9959.sql,11.69451904296875,1.004529,4,3,queries/tpch/sqlstorm_slope/breadth/9959.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/10414.sql,11.8260498046875,1.966814,0,3,queries/tpch/sqlstorm_slope/breadth/10414.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/11418.sql,12.31103515625,0.846113,4,3,queries/tpch/sqlstorm_slope/breadth/11418.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/12239.sql,12.56591796875,1.347214,3,3,queries/tpch/sqlstorm_slope/breadth/12239.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/33655.sql,12.75439453125,1.140238,4,3,queries/tpch/sqlstorm_slope/breadth/33655.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/29043.sql,13.15045166015625,2.371722,0,3,queries/tpch/sqlstorm_slope/breadth/29043.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/13177.sql,13.2822265625,1.228807,4,3,queries/tpch/sqlstorm_slope/breadth/13177.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/23438.sql,13.63922119140625,2.620267,0,3,queries/tpch/sqlstorm_slope/breadth/23438.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/7992.sql,13.75091552734375,1.412868,4,3,queries/tpch/sqlstorm_slope/breadth/7992.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/27577.sql,13.9794921875,1.619247,2,3,queries/tpch/sqlstorm_slope/breadth/27577.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/6700.sql,14.56024169921875,1.653327,4,3,queries/tpch/sqlstorm_slope/breadth/6700.sql
breadth,7.5-15 J,queries/tpch/SQLStorm/7909.sql,14.9974365234375,2.647034,0,3,queries/tpch/sqlstorm_slope/breadth/7909.sql
reference,15-40 J,queries/tpch/SQLStorm/8033.sql,19.20465087890625,1.440635,4,10,queries/tpch/sqlstorm_slope/reference/8033.sql
reference,15-40 J,queries/tpch/SQLStorm/1022.sql,19.63189697265625,3.433471,3,10,queries/tpch/sqlstorm_slope/reference/1022.sql
reference,15-40 J,queries/tpch/SQLStorm/29659.sql,27.48712158203125,2.466788,4,10,queries/tpch/sqlstorm_slope/reference/29659.sql
reference,15-40 J,queries/tpch/SQLStorm/26387.sql,36.66253662109375,4.220337,3,10,queries/tpch/sqlstorm_slope/reference/26387.sql
breadth,15-40 J,queries/tpch/SQLStorm/6781.sql,15.158935546875,1.615155,4,3,queries/tpch/sqlstorm_slope/breadth/6781.sql
breadth,15-40 J,queries/tpch/SQLStorm/9147.sql,15.66729736328125,2.811255,0,3,queries/tpch/sqlstorm_slope/breadth/9147.sql
breadth,15-40 J,queries/tpch/SQLStorm/4216.sql,16.3995361328125,1.661482,4,3,queries/tpch/sqlstorm_slope/breadth/4216.sql
breadth,15-40 J,queries/tpch/SQLStorm/10129.sql,17.03955078125,2.463587,0,3,queries/tpch/sqlstorm_slope/breadth/10129.sql
breadth,15-40 J,queries/tpch/SQLStorm/17679.sql,17.74493408203125,1.693259,4,3,queries/tpch/sqlstorm_slope/breadth/17679.sql
breadth,15-40 J,queries/tpch/SQLStorm/26705.sql,18.20843505859375,3.137969,0,3,queries/tpch/sqlstorm_slope/breadth/26705.sql
breadth,15-40 J,queries/tpch/SQLStorm/19673.sql,18.5595703125,1.25336,4,3,queries/tpch/sqlstorm_slope/breadth/19673.sql
breadth,15-40 J,queries/tpch/SQLStorm/7981.sql,19.14251708984375,3.543691,0,3,queries/tpch/sqlstorm_slope/breadth/7981.sql
breadth,15-40 J,queries/tpch/SQLStorm/32529.sql,20.14007568359375,2.289326,4,3,queries/tpch/sqlstorm_slope/breadth/32529.sql
breadth,15-40 J,queries/tpch/SQLStorm/342.sql,20.58935546875,3.724014,0,3,queries/tpch/sqlstorm_slope/breadth/342.sql
breadth,15-40 J,queries/tpch/SQLStorm/10013.sql,20.80596923828125,1.492127,4,3,queries/tpch/sqlstorm_slope/breadth/10013.sql
breadth,15-40 J,queries/tpch/SQLStorm/7346.sql,21.28759765625,3.134579,3,3,queries/tpch/sqlstorm_slope/breadth/7346.sql
breadth,15-40 J,queries/tpch/SQLStorm/11349.sql,21.9261474609375,1.548677,4,3,queries/tpch/sqlstorm_slope/breadth/11349.sql
breadth,15-40 J,queries/tpch/SQLStorm/30607.sql,22.58612060546875,3.962233,0,3,queries/tpch/sqlstorm_slope/breadth/30607.sql
breadth,15-40 J,queries/tpch/SQLStorm/14529.sql,22.76531982421875,1.497624,4,3,queries/tpch/sqlstorm_slope/breadth/14529.sql
breadth,15-40 J,queries/tpch/SQLStorm/5142.sql,23.49517822265625,2.690813,2,3,queries/tpch/sqlstorm_slope/breadth/5142.sql
breadth,15-40 J,queries/tpch/SQLStorm/7405.sql,25.05023193359375,3.185543,4,3,queries/tpch/sqlstorm_slope/breadth/7405.sql
breadth,15-40 J,queries/tpch/SQLStorm/21010.sql,25.7152099609375,4.505751,0,3,queries/tpch/sqlstorm_slope/breadth/21010.sql
breadth,15-40 J,queries/tpch/SQLStorm/11442.sql,27.10205078125,1.783218,4,3,queries/tpch/sqlstorm_slope/breadth/11442.sql
breadth,15-40 J,queries/tpch/SQLStorm/5071.sql,27.390380859375,5.176226,0,3,queries/tpch/sqlstorm_slope/breadth/5071.sql
breadth,15-40 J,queries/tpch/SQLStorm/12051.sql,29.5093994140625,2.057807,4,3,queries/tpch/sqlstorm_slope/breadth/12051.sql
breadth,15-40 J,queries/tpch/SQLStorm/5951.sql,29.585205078125,5.712408,0,3,queries/tpch/sqlstorm_slope/breadth/5951.sql
breadth,15-40 J,queries/tpch/SQLStorm/10075.sql,30.80914306640625,2.211714,4,3,queries/tpch/sqlstorm_slope/breadth/10075.sql
breadth,15-40 J,queries/tpch/SQLStorm/7872.sql,31.88116455078125,4.58106,3,3,queries/tpch/sqlstorm_slope/breadth/7872.sql
breadth,15-40 J,queries/tpch/SQLStorm/8619.sql,32.9591064453125,2.571879,4,3,queries/tpch/sqlstorm_slope/breadth/8619.sql
breadth,15-40 J,queries/tpch/SQLStorm/31494.sql,34.01171875,2.336373,3,3,queries/tpch/sqlstorm_slope/breadth/31494.sql
breadth,15-40 J,queries/tpch/SQLStorm/10218.sql,34.434326171875,2.355863,4,3,queries/tpch/sqlstorm_slope/breadth/10218.sql
breadth,15-40 J,queries/tpch/SQLStorm/27777.sql,36.03411865234375,4.229423,3,3,queries/tpch/sqlstorm_slope/breadth/27777.sql
breadth,15-40 J,queries/tpch/SQLStorm/3102.sql,36.584716796875,4.056513,4,3,queries/tpch/sqlstorm_slope/breadth/3102.sql
breadth,15-40 J,queries/tpch/SQLStorm/834.sql,38.924560546875,2.680444,1,3,queries/tpch/sqlstorm_slope/breadth/834.sql
reference,40-75 J,queries/tpch/SQLStorm/5116.sql,44.5936279296875,5.671121,4,10,queries/tpch/sqlstorm_slope/reference/5116.sql
reference,40-75 J,queries/tpch/SQLStorm/8865.sql,45.99884033203125,8.232059,3,10,queries/tpch/sqlstorm_slope/reference/8865.sql
reference,40-75 J,queries/tpch/SQLStorm/15598.sql,64.57464599609375,4.907591,4,10,queries/tpch/sqlstorm_slope/reference/15598.sql
reference,40-75 J,queries/tpch/SQLStorm/9307.sql,74.09564208984375,13.457057,0,10,queries/tpch/sqlstorm_slope/reference/9307.sql
breadth,40-75 J,queries/tpch/SQLStorm/13690.sql,40.586669921875,3.695943,4,3,queries/tpch/sqlstorm_slope/breadth/13690.sql
breadth,40-75 J,queries/tpch/SQLStorm/4765.sql,41.1715087890625,6.772899,3,3,queries/tpch/sqlstorm_slope/breadth/4765.sql
breadth,40-75 J,queries/tpch/SQLStorm/8682.sql,42.05328369140625,5.287633,4,3,queries/tpch/sqlstorm_slope/breadth/8682.sql
breadth,40-75 J,queries/tpch/SQLStorm/3463.sql,43.08331298828125,6.794135,3,3,queries/tpch/sqlstorm_slope/breadth/3463.sql
breadth,40-75 J,queries/tpch/SQLStorm/17006.sql,43.975341796875,4.090965,4,3,queries/tpch/sqlstorm_slope/breadth/17006.sql
breadth,40-75 J,queries/tpch/SQLStorm/30678.sql,44.52191162109375,4.184381,2,3,queries/tpch/sqlstorm_slope/breadth/30678.sql
breadth,40-75 J,queries/tpch/SQLStorm/18060.sql,45.052001953125,4.129485,4,3,queries/tpch/sqlstorm_slope/breadth/18060.sql
breadth,40-75 J,queries/tpch/SQLStorm/6154.sql,45.84490966796875,8.060904,0,3,queries/tpch/sqlstorm_slope/breadth/6154.sql
breadth,40-75 J,queries/tpch/SQLStorm/10222.sql,46.23016357421875,4.207865,4,3,queries/tpch/sqlstorm_slope/breadth/10222.sql
breadth,40-75 J,queries/tpch/SQLStorm/4186.sql,48.15106201171875,8.476261,0,3,queries/tpch/sqlstorm_slope/breadth/4186.sql
breadth,40-75 J,queries/tpch/SQLStorm/13280.sql,49.06317138671875,3.211927,4,3,queries/tpch/sqlstorm_slope/breadth/13280.sql
breadth,40-75 J,queries/tpch/SQLStorm/7999.sql,50.41632080078125,9.276525,0,3,queries/tpch/sqlstorm_slope/breadth/7999.sql
breadth,40-75 J,queries/tpch/SQLStorm/505.sql,51.0533447265625,4.8407,4,3,queries/tpch/sqlstorm_slope/breadth/505.sql
breadth,40-75 J,queries/tpch/SQLStorm/23619.sql,51.8348388671875,9.128999,2,3,queries/tpch/sqlstorm_slope/breadth/23619.sql
breadth,40-75 J,queries/tpch/SQLStorm/3285.sql,53.23876953125,5.314754,4,3,queries/tpch/sqlstorm_slope/breadth/3285.sql
breadth,40-75 J,queries/tpch/SQLStorm/33703.sql,55.00250244140625,6.869818,3,3,queries/tpch/sqlstorm_slope/breadth/33703.sql
breadth,40-75 J,queries/tpch/SQLStorm/7464.sql,56.37615966796875,7.17361,4,3,queries/tpch/sqlstorm_slope/breadth/7464.sql
breadth,40-75 J,queries/tpch/SQLStorm/4276.sql,57.0452880859375,9.880394,3,3,queries/tpch/sqlstorm_slope/breadth/4276.sql
breadth,40-75 J,queries/tpch/SQLStorm/12049.sql,59.41986083984375,5.701996,4,3,queries/tpch/sqlstorm_slope/breadth/12049.sql
breadth,40-75 J,queries/tpch/SQLStorm/7283.sql,59.66619873046875,10.150902,3,3,queries/tpch/sqlstorm_slope/breadth/7283.sql
breadth,40-75 J,queries/tpch/SQLStorm/4137.sql,61.34185791015625,6.199387,4,3,queries/tpch/sqlstorm_slope/breadth/4137.sql
breadth,40-75 J,queries/tpch/SQLStorm/8064.sql,62.72698974609375,11.027047,0,3,queries/tpch/sqlstorm_slope/breadth/8064.sql
breadth,40-75 J,queries/tpch/SQLStorm/25195.sql,64.23095703125,9.97854,4,3,queries/tpch/sqlstorm_slope/breadth/25195.sql
breadth,40-75 J,queries/tpch/SQLStorm/4626.sql,65.90185546875,11.097588,3,3,queries/tpch/sqlstorm_slope/breadth/4626.sql
breadth,40-75 J,queries/tpch/SQLStorm/7845.sql,67.7083740234375,5.808743,4,3,queries/tpch/sqlstorm_slope/breadth/7845.sql
breadth,40-75 J,queries/tpch/SQLStorm/8544.sql,68.87213134765625,12.65066,0,3,queries/tpch/sqlstorm_slope/breadth/8544.sql
breadth,40-75 J,queries/tpch/SQLStorm/26034.sql,70.0653076171875,4.94273,4,3,queries/tpch/sqlstorm_slope/breadth/26034.sql
breadth,40-75 J,queries/tpch/SQLStorm/2988.sql,71.47283935546875,6.019651,3,3,queries/tpch/sqlstorm_slope/breadth/2988.sql
breadth,40-75 J,queries/tpch/SQLStorm/2186.sql,72.7135009765625,11.158338,4,3,queries/tpch/sqlstorm_slope/breadth/2186.sql
breadth,40-75 J,queries/tpch/SQLStorm/5015.sql,74.22393798828125,13.154974,0,3,queries/tpch/sqlstorm_slope/breadth/5015.sql
reference,75-120 J,queries/tpch/SQLStorm/5561.sql,82.39306640625,7.306452,4,10,queries/tpch/sqlstorm_slope/reference/5561.sql
reference,75-120 J,queries/tpch/SQLStorm/6127.sql,86.947021484375,7.218288,3,10,queries/tpch/sqlstorm_slope/reference/6127.sql
reference,75-120 J,queries/tpch/SQLStorm/7925.sql,98.796875,6.445472,4,10,queries/tpch/sqlstorm_slope/reference/7925.sql
reference,75-120 J,queries/tpch/SQLStorm/5554.sql,102.4561767578125,7.245862,3,10,queries/tpch/sqlstorm_slope/reference/5554.sql
breadth,75-120 J,queries/tpch/SQLStorm/20901.sql,75.907470703125,4.738292,4,3,queries/tpch/sqlstorm_slope/breadth/20901.sql
breadth,75-120 J,queries/tpch/SQLStorm/22254.sql,76.53924560546875,12.678831,3,3,queries/tpch/sqlstorm_slope/breadth/22254.sql
breadth,75-120 J,queries/tpch/SQLStorm/257.sql,77.56085205078125,11.09863,4,3,queries/tpch/sqlstorm_slope/breadth/257.sql
breadth,75-120 J,queries/tpch/SQLStorm/1028.sql,79.01287841796875,13.325447,3,3,queries/tpch/sqlstorm_slope/breadth/1028.sql
breadth,75-120 J,queries/tpch/SQLStorm/27068.sql,79.35955810546875,9.466105,4,3,queries/tpch/sqlstorm_slope/breadth/27068.sql
breadth,75-120 J,queries/tpch/SQLStorm/26061.sql,80.79156494140625,5.930404,2,3,queries/tpch/sqlstorm_slope/breadth/26061.sql
breadth,75-120 J,queries/tpch/SQLStorm/34917.sql,81.9429931640625,13.480103,4,3,queries/tpch/sqlstorm_slope/breadth/34917.sql
breadth,75-120 J,queries/tpch/SQLStorm/4335.sql,82.43524169921875,9.42761,3,3,queries/tpch/sqlstorm_slope/breadth/4335.sql
breadth,75-120 J,queries/tpch/SQLStorm/13918.sql,83.0196533203125,5.288135,4,3,queries/tpch/sqlstorm_slope/breadth/13918.sql
breadth,75-120 J,queries/tpch/SQLStorm/5940.sql,83.7861328125,12.245286,3,3,queries/tpch/sqlstorm_slope/breadth/5940.sql
breadth,75-120 J,queries/tpch/SQLStorm/30378.sql,84.75994873046875,9.865716,4,3,queries/tpch/sqlstorm_slope/breadth/30378.sql
breadth,75-120 J,queries/tpch/SQLStorm/1552.sql,86.3848876953125,10.512573,2,3,queries/tpch/sqlstorm_slope/breadth/1552.sql
breadth,75-120 J,queries/tpch/SQLStorm/177.sql,87.0880126953125,5.892912,4,3,queries/tpch/sqlstorm_slope/breadth/177.sql
breadth,75-120 J,queries/tpch/SQLStorm/9031.sql,87.87310791015625,6.07489,3,3,queries/tpch/sqlstorm_slope/breadth/9031.sql
