array_cat
{629988,196518}
{631010,43561}
{631011,11339}
{631011,162243}
{631011,14134}
{631011,141712}
{631011,147010}
{631012,3878}
{631012,172384}
{631012,55525}
{631012,198619}
{631012,187864}
{631013,185800}
{631013,137213}
{631013,132988}
{631014,113698}
{631015,40355}
{631015,45731}
{631015,196483}
{631015,74691}
{631015,116329}
{631040,4210}
{631040,156317}
{631040,15688}
{631040,65962}
{631040,16309}
{631040,89986}
{631041,28034}
{631041,163037}
{631041,158876}
{631042,112486}
{631043,197456}
{631043,42874}
{631043,166903}
{631043,127552}
{631043,161635}
{631043,182936}
{631044,12891}
{631044,46245}
{631044,37203}
{631044,59073}
{631044,34630}
{631045,175586}
{631045,68347}
{631045,99849}
{631045,157278}
{631046,146533}
